  14
    1     1 Bus 1     HV 3    2.3240   -0.1690   0.0000   0.0000   1.0600   0.0000
    2     2 Bus 2     HV 2    0.1830    0.2970   0.0000   0.0000   1.0450  -0.0869
    3     3 Bus 3     HV 2   -0.9420    0.0440   0.0000   0.0000   1.0100  -0.2220
    4     6 Bus 6     LV 2   -0.1120    0.0470   0.0000   0.0000   1.0700  -0.2482
    5     8 Bus 8     TV 2    0.0000    0.1740   0.0000   0.0000   1.0900  -0.2332
    6     4 Bus 4     HV 1   -0.4780    0.0390   0.0000   0.0000   1.0190  -0.1803
    7     5 Bus 5     HV 1   -0.0760   -0.0160   0.0000   0.0000   1.0200  -0.1532
    8     7 Bus 7     ZV 1    0.0000    0.0000   0.0000   0.0000   1.0620  -0.2334
    9     9 Bus 9     LV 1   -0.2950   -0.1660   0.0000   0.1900   1.0560  -0.2608
   10    10 Bus 10    LV 1   -0.0900   -0.0580   0.0000   0.0000   1.0510  -0.2635
   11    11 Bus 11    LV 1   -0.0350   -0.0180   0.0000   0.0000   1.0570  -0.2581
   12    12 Bus 12    LV 1   -0.0610   -0.0160   0.0000   0.0000   1.0550  -0.2630
   13    13 Bus 13    LV 1   -0.1350   -0.0580   0.0000   0.0000   1.0500  -0.2646
   14    14 Bus 14    LV 1   -0.1490   -0.0500   0.0000   0.0000   1.0360  -0.2800
-999
  20
    1     2 0   0.019380   0.059170     0  0.0000  0.0000 0.0000
    1     7 0   0.054030   0.223040     0  0.0000  0.0000 0.0000
    2     3 0   0.046990   0.197970     0  0.0000  0.0000 0.0000
    2     6 0   0.058110   0.176320     0  0.0000  0.0000 0.0000
    2     7 0   0.056950   0.173880     0  0.0000  0.0000 0.0000
    3     6 0   0.067010   0.171030     0  0.0000  0.0000 0.0000
    6     7 0   0.013350   0.042110     0  0.0000  0.0000 0.0000
    6     8 1   0.000000   0.209120     0  0.0000  0.0000 0.0000
    6     9 1   0.000000   0.556180     0  0.0000  0.0000 0.0000
    7     4 1   0.000000   0.252020     0  0.0000  0.0000 0.0000
    4    11 0   0.094980   0.198900     0  0.0000  0.0000 0.0000
    4    12 0   0.122910   0.255810     0  0.0000  0.0000 0.0000
    4    13 0   0.066150   0.130270     0  0.0000  0.0000 0.0000
    8     5 0   0.000000   0.176150     0  0.0000  0.0000 0.0000
    8     9 0   0.000000   0.110010     0  0.0000  0.0000 0.0000
    9    10 0   0.031810   0.084500     0  0.0000  0.0000 0.0000
    9    14 0   0.127110   0.270380     0  0.0000  0.0000 0.0000
   10    11 0   0.082050   0.192070     0  0.0000  0.0000 0.0000
   12    13 0   0.220920   0.199880     0  0.0000  0.0000 0.0000
   13    14 0   0.170930   0.348020     0  0.0000  0.0000 0.0000
-999
