 118
    1    69 Sporn     V2 3    5.1640    0.0000   0.0000   0.0000   1.0350   0.5236
    2     1 Riversde  V2 2   -0.5100   -0.2700   0.0000   0.0000   0.9550   0.1862
    3     4 NwCarlsl  V2 2   -0.3900   -0.1200   0.0000   0.0000   0.9980   0.2667
    4     6 Kankakee  V2 2   -0.5200   -0.2200   0.0000   0.0000   0.9900   0.2269
    5     8 Olive     V1 2   -0.2800    0.0000   0.0000   0.0000   1.0150   0.3625
    6    10 Breed     V1 2    4.5000    0.0000   0.0000   0.0000   1.0500   0.6215
    7    12 TwinBrch  V2 2    0.3800   -0.1000   0.0000   0.0000   0.9900   0.2129
    8    15 FtWayne   V2 2   -0.9000   -0.3000   0.0000   0.0000   0.9700   0.1960
    9    18 McKinley  V2 2   -0.6000   -0.3400   0.0000   0.0000   0.9730   0.2012
   10    19 Lincoln   V2 2   -0.4500   -0.2500   0.0000   0.0000   0.9630   0.1929
   11    24 Trenton   V2 2   -0.1300    0.0000   0.0000   0.0000   0.9920   0.3646
   12    25 TannrsCk  V2 2    2.2000    0.0000   0.0000   0.0000   1.0500   0.4875
   13    26 TannrsCk  V1 2    3.1400    0.0000   0.0000   0.0000   1.0150   0.5185
   14    27 Madison   V2 2   -0.7100   -0.1300   0.0000   0.0000   0.9680   0.2679
   15    31 DeerCrk   V2 2   -0.3600   -0.2700   0.0000   0.0000   0.9670   0.2225
   16    32 Delaware  V2 2   -0.5900   -0.2300   0.0000   0.0000   0.9640   0.2583
   17    34 Rockhill  V2 2   -0.5900   -0.2600   0.0000   0.1400   0.9860   0.1972
   18    36 Sterling  V2 2   -0.3100   -0.1700   0.0000   0.0000   0.9800   0.1897
   19    40 West End  V2 2   -0.6600   -0.2300   0.0000   0.0000   0.9700   0.1283
   20    42 Howard    V2 2   -0.9600   -0.2300   0.0000   0.0000   0.9850   0.1489
   21    46 W.Lancst  V2 2   -0.0900   -0.1000   0.0000   0.1000   1.0050   0.3227
   22    49 Philo     V2 2    1.1700   -0.3000   0.0000   0.0000   1.0250   0.3655
   23    54 Torrey    V2 2   -0.6500   -0.3200   0.0000   0.0000   0.9550   0.2663
   24    55 Wagenhls  V2 2   -0.6300   -0.2200   0.0000   0.0000   0.9520   0.2613
   25    56 Sunnysde  V2 2   -0.8400   -0.1800   0.0000   0.0000   0.9540   0.2646
   26    59 Tidd      V2 2   -1.2200   -1.1300   0.0000   0.0000   0.9850   0.3381
   27    61 W.Kammer  V2 2    1.6000    0.0000   0.0000   0.0000   0.9950   0.4196
   28    62 Natrium   V2 2   -0.7700   -0.1400   0.0000   0.0000   0.9980   0.4089
   29    65 Muskngum  V1 2    3.9100    0.0000   0.0000   0.0000   1.0050   0.4826
   30    66 Muskngum  V2 2    3.5300   -0.1800   0.0000   0.0000   1.0500   0.4796
   31    70 Portsmth  V2 2   -0.6600   -0.2000   0.0000   0.0000   0.9840   0.3941
   32    72 Hillsbro  V2 2   -0.1200    0.0000   0.0000   0.0000   0.9800   0.3662
   33    73 Sargents  V2 2   -0.0600    0.0000   0.0000   0.0000   0.9910   0.3829
   34    74 Bellefnt  V2 2   -0.6800   -0.2700   0.0000   0.1200   0.9580   0.3777
